"","Week","No_Dep","Mild_Dep","Moderate_Dep","Severe_Dep","All_Dep","Mean_DScore","Treatment","Talk","Prob_of_Talking","Prob_of_Treatment","Mean_DScore_Male","Mean_DScore_Female","NoDep_Male","Mild_Male","Moderate_Male","Severe_Male","AllDep_Male","NoDep_Female","Mild_Female","Moderate_Female","Severe_Female","AllDep_Female","Count_Male","Count_Female","Male_Treatment","Male_Talks","Female_Treatment","Female_Talks","Environment"
"1",0,942.92,29.62,13.88,13.58,57.08,7.1267,93.58,30.86,2.51683326188,8.95359897582,6.43850990604,7.8233074943,481.78,11.96,5.16,3.62,20.74,461.14,17.66,8.72,9.96,36.34,502.52,497.48,31.42,13.88,62.16,16.98,10
"2",1,943.66,29.38,13.62,13.34,56.34,7.14196072982,92.42,32.12,2.51703941334,8.96543108148,6.47283452686,7.81944133328,481.76,11.98,5.2,3.58,20.76,461.9,17.4,8.42,9.76,35.58,502.52,497.48,29.74,14.3,62.68,17.82,10
"3",2,944.24,29.24,13.5,13.02,55.76,7.16122583218,94.24,30.58,2.51898906486,8.97865745608,6.51074872664,7.8201744966,481.8,11.92,5.26,3.54,20.72,462.44,17.32,8.24,9.48,35.04,502.52,497.48,31.42,13.56,62.82,17.02,10
"4",3,944.72,29.16,13.26,12.86,55.28,7.18583721302,92.2,28.92,2.52295966452,8.98403469252,6.54939994786,7.83031438648,481.78,12,5.18,3.56,20.74,462.94,17.16,8.08,9.3,34.54,502.52,497.48,30.6,12.12,61.6,16.8,10
"5",4,945.46,28.86,12.98,12.7,54.54,7.20326281326,95.5,31.78,2.52388309212,8.99665200668,6.58368900608,7.83066887414,481.98,11.86,5.1,3.58,20.54,463.48,17,7.88,9.12,34,502.52,497.48,31.2,13,64.3,18.78,10
"6",5,946.06,28.54,12.74,12.66,53.94,7.2214576688,93.62,29,2.52750719438,9.00780855708,6.61550395356,7.83536849148,482,11.82,5.1,3.6,20.52,464.06,16.72,7.64,9.06,33.42,502.52,497.48,30.26,12.82,63.36,16.18,10
"7",6,946.94,27.98,12.62,12.46,53.06,7.23561896914,94.96,29.22,2.5293954515,9.01893600528,6.64937936642,7.82942072804,482.08,11.66,5.18,3.6,20.44,464.86,16.32,7.44,8.86,32.62,502.52,497.48,29.76,13.46,65.2,15.76,10
"8",7,947.64,27.66,12.42,12.28,52.36,7.25434458996,96.44,30.28,2.53299163964,9.02928112102,6.68378954308,7.8322132519,482.1,11.74,5.1,3.58,20.42,465.54,15.92,7.32,8.7,31.94,502.52,497.48,31.22,13.62,65.22,16.66,10
"9",8,948.06,27.54,12.24,12.16,51.94,7.2763254352,96.8,29.84,2.53556441712,9.03952035492,6.71984830162,7.8398495918,481.96,11.88,5.08,3.6,20.56,466.1,15.66,7.16,8.56,31.38,502.52,497.48,30.94,13.12,65.86,16.72,10
"10",9,948.62,27.28,12.04,12.06,51.38,7.29334969042,94.94,31,2.53931509048,9.05062001828,6.75423032982,7.83927363132,481.94,11.88,5.12,3.58,20.58,466.68,15.4,6.92,8.48,30.8,502.52,497.48,29.78,14.38,65.16,16.62,10
"11",10,949.26,26.74,12,12,50.74,7.31243805822,97.56,30.04,2.54065228936,9.06074976978,6.78478457426,7.84686405838,482.06,11.68,5.12,3.66,20.46,467.2,15.06,6.88,8.34,30.28,502.52,497.48,31.56,13.52,66,16.52,10
"12",11,950.04,26.48,11.68,11.8,49.96,7.32884935864,97.52,30.04,2.54262538676,9.07128850284,6.8193817441,7.84489248816,482.24,11.54,5.02,3.72,20.28,467.8,14.94,6.66,8.08,29.68,502.52,497.48,31.44,12.56,66.08,17.48,10
"13",12,950.82,25.82,11.68,11.68,49.18,7.34521131066,95.78,31.72,2.54712037406,9.08243311118,6.8498428206,7.84714606664,482.4,11.32,5.12,3.68,20.12,468.42,14.5,6.56,8,29.06,502.52,497.48,29.48,13.54,66.3,18.18,10
"14",13,951.3,25.7,11.44,11.56,48.7,7.36446909064,95.04,30.4,2.5481076628,9.09364778216,6.88066420174,7.8546553183,482.54,11.34,4.96,3.68,19.98,468.76,14.36,6.48,7.88,28.72,502.52,497.48,30.24,13.06,64.8,17.34,10
"15",14,951.54,25.84,11.2,11.42,48.46,7.3845973502,96.64,30.8,2.5534053463,9.10324750032,6.91330062804,7.86238346062,482.4,11.56,4.86,3.7,20.12,469.14,14.28,6.34,7.72,28.34,502.52,497.48,31.44,14.06,65.2,16.74,10
"16",15,952,25.58,11.08,11.34,48,7.39955085566,95.48,30.34,2.5566134747,9.11623583754,6.94202886006,7.8636691016,482.34,11.6,4.88,3.7,20.18,469.66,13.98,6.2,7.64,27.82,502.52,497.48,30.02,13.2,65.46,17.14,10
"17",16,952.56,25.2,11,11.24,47.44,7.41708949582,96.52,31.04,2.55992180618,9.12686904574,6.97291927528,7.86772806928,482.42,11.52,4.84,3.74,20.1,470.14,13.68,6.16,7.5,27.34,502.52,497.48,30.26,13,66.26,18.04,10
"18",17,953.12,24.92,10.78,11.18,46.88,7.43987313492,96.6,30.54,2.56420351556,9.13760117106,7.00605835958,7.87986311748,482.44,11.54,4.8,3.74,20.08,470.68,13.38,5.98,7.44,26.8,502.52,497.48,30.46,13.08,66.14,17.46,10
"19",18,953.54,24.72,10.64,11.1,46.46,7.46092432548,96.08,31.12,2.5669948119,9.14749614628,7.04544533788,7.8824118718,482.38,11.5,4.88,3.76,20.14,471.16,13.22,5.76,7.34,26.32,502.52,497.48,30.04,13.04,66.04,18.08,10
"20",19,953.92,24.36,10.7,11.02,46.08,7.48051199372,98.06,31.12,2.5700802093,9.16015520374,7.07532452386,7.89182774126,482.34,11.44,5.02,3.72,20.18,471.58,12.92,5.68,7.3,25.9,502.52,497.48,30.76,13.74,67.3,17.38,10
"21",20,954.32,24.28,10.54,10.86,45.68,7.49740756876,96.04,31.5,2.57232957574,9.17254699388,7.11012753286,7.89077126814,482.38,11.34,5.04,3.76,20.14,471.94,12.94,5.5,7.1,25.54,502.52,497.48,29.74,13.8,66.3,17.7,10
"22",21,954.46,24.56,10.24,10.74,45.54,7.51190639106,98.48,30.88,2.57477231918,9.1852896681,7.13905035152,7.89082310512,482.18,11.54,5,3.8,20.34,472.28,13.02,5.24,6.94,25.2,502.52,497.48,29.34,13.48,69.14,17.4,10
"23",22,954.64,24.58,10.18,10.6,45.36,7.5282664802,95.88,31.58,2.57493511482,9.19722308824,7.17137708564,7.89104738278,482.02,11.68,5.04,3.78,20.5,472.62,12.9,5.14,6.82,24.86,502.52,497.48,29.92,13.34,65.96,18.24,10
"24",23,954.8,24.44,10.36,10.4,45.2,7.5459603061,98.1,30.04,2.57778764528,9.20842265388,7.20197486336,7.89541746082,481.96,11.74,5.08,3.74,20.56,472.84,12.7,5.28,6.66,24.64,502.52,497.48,29.8,12.4,68.3,17.64,10
"25",24,954.86,24.76,10.06,10.32,45.14,7.5601734181,95.88,30.78,2.58152345258,9.22502297274,7.23143515882,7.8941888376,481.86,12.04,4.9,3.72,20.66,473,12.72,5.16,6.6,24.48,502.52,497.48,28.94,12.84,66.94,17.94,10
"26",25,954.84,25.02,9.8,10.34,45.16,7.5822496111,96.22,32.86,2.58379706562,9.23783568894,7.26243458862,7.9067723201,481.76,12.12,4.9,3.74,20.76,473.08,12.9,4.9,6.6,24.4,502.52,497.48,29.46,14.74,66.76,18.12,10
"27",26,955.04,24.92,9.76,10.28,44.96,7.60204480124,96.58,31.3,2.58521080142,9.2467244135,7.29059679902,7.91834597276,481.74,12.1,4.9,3.78,20.78,473.3,12.82,4.86,6.5,24.18,502.52,497.48,29.94,13.26,66.64,18.04,10
"28",27,955.3,24.74,9.72,10.24,44.7,7.62302075018,97.44,31.9,2.5871310114,9.25645199644,7.32751872796,7.92342012536,481.78,12,4.9,3.84,20.74,473.52,12.74,4.82,6.4,23.96,502.52,497.48,28.5,13.54,68.94,18.36,10
"29",28,955.48,24.58,9.76,10.18,44.52,7.64591596596,97.34,30.26,2.59188630092,9.26688716754,7.36418155142,7.93236189222,481.62,12.08,4.98,3.84,20.9,473.86,12.5,4.78,6.34,23.62,502.52,497.48,29.08,12.94,68.26,17.32,10
"30",29,955.68,24.64,9.62,10.06,44.32,7.66132775128,99.16,32.54,2.593726449,9.27730909586,7.3932238666,7.93403778144,481.5,12.18,5,3.84,21.02,474.18,12.46,4.62,6.22,23.3,502.52,497.48,29.44,13.24,69.72,19.3,10
"31",30,955.82,24.6,9.64,9.94,44.18,7.67807463472,97.48,30.54,2.59414928948,9.28766653634,7.41986305406,7.9409968849,481.56,12.14,4.94,3.88,20.96,474.26,12.46,4.7,6.06,23.22,502.52,497.48,28.32,12.78,69.16,17.76,10
"32",31,955.98,24.62,9.6,9.8,44.02,7.697430488,97.56,32.34,2.5963360058,9.30288412478,7.45396139738,7.94549079924,481.5,12.16,5,3.86,21.02,474.48,12.46,4.6,5.94,23,502.52,497.48,28.9,13.9,68.66,18.44,10
"33",32,956.14,24.56,9.7,9.6,43.86,7.71637542832,96.94,32.78,2.60045201126,9.31586971366,7.48475486288,7.95251219608,481.48,12.22,4.96,3.86,21.04,474.66,12.34,4.74,5.74,22.82,502.52,497.48,27.62,13.36,69.32,19.42,10
"34",33,956.46,24.38,9.64,9.52,43.54,7.73625823776,99.32,31.9,2.60444433964,9.33006003164,7.5184454401,7.95842880298,481.64,11.98,4.98,3.92,20.88,474.82,12.4,4.66,5.6,22.66,502.52,497.48,29.32,13.14,70,18.76,10
"35",34,956.28,24.68,9.66,9.38,43.72,7.75761797224,99.18,31.96,2.60965919004,9.34177949054,7.55432689612,7.96499133018,481.46,12.18,5,3.88,21.06,474.82,12.5,4.66,5.5,22.66,502.52,497.48,29.12,13.26,70.06,18.7,10
"36",35,956.42,24.72,9.58,9.28,43.58,7.77185413374,98.5,32.5,2.61167810162,9.35567220568,7.57927186048,7.96801773774,481.36,12.26,5.02,3.88,21.16,475.06,12.46,4.56,5.4,22.42,502.52,497.48,28.94,14.16,69.56,18.34,10
"37",36,956.6,24.66,9.46,9.28,43.4,7.79056622832,100.4,32.6,2.61597325964,9.36958485662,7.61079774632,7.9738783835,481.28,12.26,5.14,3.84,21.24,475.32,12.4,4.32,5.44,22.16,502.52,497.48,28.88,14.42,71.52,18.18,10
"38",37,956.98,24.48,9.48,9.06,43.02,7.80818500266,96.76,32.56,2.61968552062,9.38171468512,7.63869144738,7.98057272258,481.36,12.14,5.22,3.8,21.16,475.62,12.34,4.26,5.26,21.86,502.52,497.48,28.06,13.5,68.7,19.06,10
"39",38,957.12,24.48,9.38,9.02,42.88,7.82269677082,99.72,32.6,2.6223698612,9.3955664709,7.6691205935,7.97899649424,481.26,12.26,5.2,3.8,21.26,475.86,12.22,4.18,5.22,21.62,502.52,497.48,29.18,12.94,70.54,19.66,10
"40",39,957.06,24.6,9.36,8.98,42.94,7.84203589444,100.54,31.68,2.62463285484,9.41128603904,7.70292263714,7.9839392491,480.94,12.52,5.28,3.78,21.58,476.12,12.08,4.08,5.2,21.36,502.52,497.48,29.66,13.16,70.88,18.52,10
"41",40,957.02,24.88,9.18,8.92,42.98,7.86354783242,99.58,32.46,2.6287624697,9.42264049876,7.73768626732,7.9920091405,480.82,12.62,5.24,3.84,21.7,476.2,12.26,3.94,5.08,21.28,502.52,497.48,27.78,13.68,71.8,18.78,10
"42",41,957.1,24.84,9.18,8.88,42.9,7.87871365314,101.06,31.38,2.63378120698,9.43592351696,7.77082872794,7.98883761764,480.68,12.76,5.18,3.9,21.84,476.42,12.08,4,4.98,21.06,502.52,497.48,28.72,13.68,72.34,17.7,10
"43",42,957.2,24.92,9.18,8.7,42.8,7.89586481842,98.52,33.06,2.6375736475,9.4494770598,7.79934637596,7.99424589618,480.52,12.84,5.26,3.9,22,476.68,12.08,3.92,4.8,20.8,502.52,497.48,28.46,13.86,70.06,19.2,10
"44",43,957.24,24.74,9.28,8.74,42.76,7.91431484324,100.74,33.3,2.6427020338,9.46219920666,7.83313496442,7.99700266056,480.46,12.78,5.34,3.94,22.06,476.78,11.96,3.94,4.8,20.7,502.52,497.48,28.72,13.38,72.02,19.92,10
"45",44,957.46,24.78,9.24,8.52,42.54,7.93112463376,100,32.9,2.6464026771,9.47548944958,7.86474986122,7.9984805301,480.48,12.84,5.34,3.86,22.04,476.98,11.94,3.9,4.66,20.5,502.52,497.48,28.04,13.04,71.96,19.86,10
"46",45,957.38,25.08,9.3,8.24,42.62,7.95393551288,102.34,32.88,2.64878109122,9.48917405626,7.90380488434,8.00502768406,480.32,13.02,5.42,3.76,22.2,477.06,12.06,3.88,4.48,20.42,502.52,497.48,28.08,13.72,74.26,19.16,10
"47",46,957.3,25.28,9.24,8.18,42.7,7.97478777232,99.92,31.7,2.6526801809,9.50460759568,7.94003366518,8.0103085093,479.98,13.28,5.4,3.86,22.54,477.32,12,3.84,4.32,20.16,502.52,497.48,27.58,12.8,72.34,18.9,10
"48",47,957.24,25.32,9.32,8.12,42.76,7.99682663796,102.18,32.76,2.65613090002,9.5210758795,7.97636866166,8.01797789896,479.82,13.32,5.5,3.88,22.7,477.42,12,3.82,4.24,20.06,502.52,497.48,28.74,13.64,73.44,19.12,10
"49",48,957.18,25.36,9.38,8.08,42.82,8.01776646436,101.42,33.86,2.66055330988,9.53538610628,8.01383364048,8.02259191728,479.76,13.28,5.52,3.96,22.76,477.42,12.08,3.86,4.12,20.06,502.52,497.48,27.66,13.36,73.76,20.5,10
"50",49,957.1,25.5,9.32,8.08,42.9,8.0366884865,102.68,32.8,2.66414787266,9.54984587918,8.04319224242,8.03094039324,479.6,13.4,5.54,3.98,22.92,477.5,12.1,3.78,4.1,19.98,502.52,497.48,27.96,12.88,74.72,19.92,10
"51",50,957.02,25.76,9.16,8.06,42.98,8.05749805816,100.92,32.68,2.66510142538,9.56179085514,8.07101625854,8.04418815422,479.38,13.66,5.44,4.04,23.14,477.64,12.1,3.72,4.02,19.84,502.52,497.48,29.08,13.3,71.84,19.38,10
"52",51,956.82,25.92,9.26,8,43.18,8.07588053262,101.94,33.4,2.67131028418,9.5744738358,8.10350702774,8.04846181048,479.16,13.78,5.5,4.08,23.36,477.66,12.14,3.76,3.92,19.82,502.52,497.48,27.9,13.58,74.04,19.82,10
"53",52,956.62,26.04,9.26,8.08,43.38,8.09628358918,101.42,32.42,2.67779958084,9.59217113186,8.1352444741,8.05734115782,478.96,13.92,5.54,4.1,23.56,477.66,12.12,3.72,3.98,19.82,502.52,497.48,28.54,12.82,72.88,19.6,10
"54",53,956.28,26.3,9.34,8.08,43.72,8.1182144649,100.74,32.52,2.68523076596,9.60875625144,8.17871042348,8.05714893004,478.74,14.02,5.58,4.18,23.78,477.54,12.28,3.76,3.9,19.94,502.52,497.48,27.14,12.66,73.6,19.86,10
"55",54,956.08,26.46,9.42,8.04,43.92,8.13689782684,102.44,33.38,2.68936840384,9.622863576,8.21204733406,8.06111066382,478.54,14.04,5.68,4.26,23.98,477.54,12.42,3.74,3.78,19.94,502.52,497.48,27.88,13.56,74.56,19.82,10
"56",55,956.06,26.62,9.36,7.96,43.94,8.1519748689,101.96,33.14,2.69397077532,9.63740545628,8.24014134262,8.06330908622,478.52,14.08,5.7,4.22,24,477.54,12.54,3.66,3.74,19.94,502.52,497.48,27.62,12.72,74.34,20.42,10
"57",56,956.04,26.46,9.52,7.98,43.96,8.16719539728,102.96,33.46,2.6991176278,9.65409670174,8.2738686001,8.06004575546,478.38,14.08,5.72,4.34,24.14,477.66,12.38,3.8,3.64,19.82,502.52,497.48,27.86,12.94,75.1,20.52,10
"58",57,955.9,26.54,9.6,7.96,44.1,8.18859239008,103.7,33.52,2.70561659758,9.669102997,8.3059495381,8.07071726972,478.12,14.3,5.72,4.38,24.4,477.78,12.24,3.88,3.58,19.7,502.52,497.48,28.24,13.42,75.46,20.1,10
"59",58,955.76,26.76,9.62,7.86,44.24,8.20955568006,102.46,32.44,2.7118093043,9.68637897936,8.34296822226,8.07558156946,477.84,14.56,5.72,4.4,24.68,477.92,12.2,3.9,3.46,19.56,502.52,497.48,27.76,12.8,74.7,19.64,10
"60",59,955.74,26.82,9.62,7.82,44.26,8.22514959148,103.8,33.82,2.71761362114,9.70474081284,8.37218923002,8.0770250938,477.76,14.6,5.8,4.36,24.76,477.98,12.22,3.82,3.46,19.5,502.52,497.48,28.38,12.88,75.42,20.94,10
"61",60,955.54,27.1,9.54,7.82,44.46,8.24464687128,103.6,33.68,2.7225883842,9.7210076672,8.4018838769,8.08601894566,477.44,14.9,5.86,4.32,25.08,478.1,12.2,3.68,3.5,19.38,502.52,497.48,28.06,13.12,75.54,20.56,10
"62",61,955.36,27.24,9.58,7.82,44.64,8.26536964552,101.36,33.32,2.72683693022,9.73758073582,8.4401792731,8.08889914668,477.32,14.88,5.94,4.38,25.2,478.04,12.36,3.64,3.44,19.44,502.52,497.48,27.36,12.56,74,20.76,10
"63",62,955.42,27.24,9.54,7.8,44.58,8.28521984892,102.8,33.3,2.732056488,9.7546552735,8.47278292138,8.09616618548,477.28,14.88,5.96,4.4,25.24,478.14,12.36,3.58,3.4,19.34,502.52,497.48,27.5,13.46,75.3,19.84,10
"64",63,955.58,27.02,9.66,7.74,44.42,8.30048708846,103.06,34,2.73694596466,9.77065102968,8.50183154336,8.0973093161,477.18,14.84,6.08,4.42,25.34,478.4,12.18,3.58,3.32,19.08,502.52,497.48,26.68,13.24,76.38,20.76,10
"65",64,955.44,27.12,9.76,7.68,44.56,8.31852194222,103.36,35.3,2.7395332778,9.78894426498,8.53052378448,8.10460044958,477.04,14.88,6.16,4.44,25.48,478.4,12.24,3.6,3.24,19.08,502.52,497.48,27.96,13.38,75.4,21.92,10
"66",65,955.22,27.3,9.84,7.64,44.78,8.33614685594,104.84,34.1,2.74505014882,9.80621742146,8.5621889639,8.10811115856,476.76,15.04,6.24,4.48,25.76,478.46,12.26,3.6,3.16,19.02,502.52,497.48,27.9,13.72,76.94,20.38,10
"67",66,955.04,27.6,9.7,7.66,44.96,8.35249501388,103.72,34.82,2.74876479554,9.82472059684,8.59330853464,8.10965547156,476.5,15.26,6.2,4.56,26.02,478.54,12.34,3.5,3.1,18.94,502.52,497.48,27.16,13.18,76.56,21.64,10
"68",67,954.82,27.84,9.66,7.68,45.18,8.3707434486,104.82,34.4,2.75556725548,9.84284209272,8.62557761818,8.1137160673,476.24,15.42,6.2,4.66,26.28,478.58,12.42,3.46,3.02,18.9,502.52,497.48,27.52,13.7,77.3,20.7,10
"69",68,954.78,27.86,9.64,7.72,45.22,8.39005238686,105.66,35.42,2.76064583884,9.8590934565,8.66246831576,8.11557226178,476.16,15.42,6.2,4.74,26.36,478.62,12.44,3.44,2.98,18.86,502.52,497.48,27.96,14.06,77.7,21.36,10
"70",69,954.32,28.18,9.78,7.72,45.68,8.41141134378,104.94,35.68,2.76530059634,9.87601478316,8.70143094736,8.11941690886,475.92,15.5,6.3,4.8,26.6,478.4,12.68,3.48,2.92,19.08,502.52,497.48,26.12,13.94,78.82,21.74,10
"71",70,954.2,28.3,9.86,7.64,45.8,8.4289146745,104.9,33.98,2.7720723273,9.89547917668,8.73126549162,8.1240837979,475.72,15.72,6.26,4.82,26.8,478.48,12.58,3.6,2.82,19,502.52,497.48,26.04,12.52,78.86,21.46,10
"72",71,953.88,28.68,9.8,7.64,46.12,8.4450981496,104.48,34.44,2.7777484252,9.91533820758,8.75830891856,8.12909980266,475.46,15.98,6.22,4.86,27.06,478.42,12.7,3.58,2.78,19.06,502.52,497.48,26.38,12.54,78.1,21.9,10
"73",72,953.84,28.84,9.7,7.62,46.16,8.45881947282,106.8,34.72,2.78361776358,9.936146269,8.78401436504,8.13054267346,475.46,15.96,6.24,4.86,27.06,478.38,12.88,3.46,2.76,19.1,502.52,497.48,27.64,13.46,79.16,21.26,10
"74",73,953.74,28.82,9.88,7.56,46.26,8.47276495652,103.12,34.9,2.79093804836,9.95568353828,8.81335141548,8.12901416686,475.4,15.94,6.28,4.9,27.12,478.34,12.88,3.6,2.66,19.14,502.52,497.48,26.2,13.12,76.92,21.78,10
"75",74,953.5,28.96,10.02,7.52,46.5,8.4914169657,103.04,36.3,2.79645518946,9.97211740578,8.84096300002,8.13846907698,475.18,16.06,6.38,4.9,27.34,478.32,12.9,3.64,2.62,19.16,502.52,497.48,26.32,14.26,76.72,22.04,10
"76",75,953,29.26,10.32,7.42,47,8.51496605694,104.46,34.7,2.8019924353,9.99045776804,8.87982338196,8.14643758412,474.78,16.32,6.54,4.88,27.74,478.22,12.94,3.78,2.54,19.26,502.52,497.48,25.56,13.48,78.9,21.22,10
"77",76,952.6,29.7,10.14,7.56,47.4,8.52709406396,106.44,35.84,2.80613659306,10.00936254082,8.90838319944,8.1422474283,474.48,16.58,6.4,5.06,28.04,478.12,13.12,3.74,2.5,19.36,502.52,497.48,26.24,13.32,80.2,22.52,10
"78",77,952.38,29.8,10.26,7.56,47.62,8.55012931788,105.42,35.9,2.81199903856,10.0299786252,8.94494745358,8.15187951928,474.28,16.68,6.52,5.04,28.24,478.1,13.12,3.74,2.52,19.38,502.52,497.48,26.6,13.5,78.82,22.4,10
"79",78,951.96,30.24,10.28,7.52,48.04,8.56930383296,106.94,35.42,2.81515318168,10.04804134162,8.97205575112,8.16326575734,474.04,16.92,6.52,5.04,28.48,477.92,13.32,3.76,2.48,19.56,502.52,497.48,28.18,13.94,78.76,21.48,10
"80",79,951.74,30.48,10.24,7.54,48.26,8.5832240078,106.66,35.16,2.8234309336,10.06884607178,9.0007227356,8.16240205702,473.8,17.14,6.58,5,28.72,477.94,13.34,3.66,2.54,19.54,502.52,497.48,26.24,13.66,80.42,21.5,10
"81",80,951.7,30.6,10.2,7.5,48.3,8.60208525466,105.1,35.46,2.82709035848,10.09033766974,9.03678438534,8.16402794722,473.54,17.36,6.66,4.96,28.98,478.16,13.24,3.54,2.54,19.32,502.52,497.48,25.3,13.18,79.8,22.28,10
"82",81,951.28,30.9,10.2,7.62,48.72,8.62470294012,105.64,35.4,2.83530716998,10.10974266238,9.07377322648,8.17178108178,473.12,17.64,6.68,5.08,29.4,478.16,13.26,3.52,2.54,19.32,502.52,497.48,25.82,13.36,79.82,22.04,10
"83",82,950.78,31.28,10.38,7.56,49.22,8.64505383576,108.48,36.92,2.84135585004,10.12671277728,9.09916293996,8.18704519582,472.92,17.78,6.76,5.06,29.6,477.86,13.5,3.62,2.5,19.62,502.52,497.48,26.8,14.9,81.68,22.02,10
"84",83,950.58,31.38,10.46,7.58,49.42,8.66327311144,107.74,37.24,2.8497552129,10.14877869796,9.13254381512,8.18990809598,472.86,17.7,6.8,5.16,29.66,477.72,13.68,3.66,2.42,19.76,502.52,497.48,25.74,14.06,82,23.18,10
"85",84,950.22,31.54,10.62,7.62,49.78,8.68506028494,107.48,36.58,2.85527416382,10.17082290034,9.16616001176,8.1999867075,472.54,17.84,6.94,5.2,29.98,477.68,13.7,3.68,2.42,19.8,502.52,497.48,26.22,13.74,81.26,22.84,10
"86",85,949.92,31.62,10.78,7.68,50.08,8.70137994292,108.8,36.36,2.86167574148,10.18950184032,9.19624115962,8.20226079568,472.24,18,7.06,5.22,30.28,477.68,13.62,3.72,2.46,19.8,502.52,497.48,26.56,13.68,82.24,22.68,10
"87",86,949.66,31.7,10.86,7.78,50.34,8.71820162308,107.02,36.56,2.86783336612,10.20929206514,9.2231917796,8.20872665132,472.18,18,7.06,5.28,30.34,477.48,13.7,3.8,2.5,20,502.52,497.48,26.68,13.7,80.34,22.86,10
"88",87,949.52,31.76,11.06,7.66,50.48,8.73309310228,110.3,36.16,2.87456264772,10.22601414926,9.25369815464,8.20775876222,472,18.12,7.16,5.24,30.52,477.52,13.64,3.9,2.42,19.96,502.52,497.48,26.58,13.84,83.72,22.32,10
"89",88,949.2,31.9,11.24,7.66,50.8,8.75114632182,107.18,36.74,2.87879386836,10.24768501312,9.28823463572,8.2093817582,471.74,18.22,7.28,5.28,30.78,477.46,13.68,3.96,2.38,20.02,502.52,497.48,25.84,13.84,81.34,22.9,10
"90",89,948.92,31.94,11.52,7.62,51.08,8.77352063494,108.92,36.48,2.88492898628,10.2707740207,9.32385751522,8.21891277608,471.62,18.12,7.48,5.3,30.9,477.3,13.82,4.04,2.32,20.18,502.52,497.48,24.88,13.44,84.04,23.04,10
"91",90,948.72,32.18,11.5,7.6,51.28,8.79152039722,109.24,36.22,2.89034202878,10.29229450272,9.35568566482,8.2228854355,471.26,18.44,7.5,5.32,31.26,477.46,13.74,4,2.28,20.02,502.52,497.48,27.16,13.16,82.08,23.06,10
"92",91,948.66,32.16,11.58,7.6,51.34,8.80573000884,106.78,37.1,2.89722585808,10.3138462985,9.379929649,8.22693489012,471.2,18.46,7.54,5.32,31.32,477.46,13.7,4.04,2.28,20.02,502.52,497.48,24.82,13.52,81.96,23.58,10
"93",92,948.48,32.4,11.52,7.6,51.52,8.8200906124,108.76,36.96,2.90178701756,10.33381452222,9.40482451016,8.2301072449,471.1,18.64,7.52,5.26,31.42,477.38,13.76,4,2.34,20.1,502.52,497.48,25.3,13.76,83.46,23.2,10
"94",93,948.34,32.38,11.6,7.68,51.66,8.8390406722,109.88,36.58,2.90849120126,10.35591967056,9.44572571332,8.2268534434,470.92,18.62,7.62,5.36,31.6,477.42,13.76,3.98,2.32,20.06,502.52,497.48,25.98,13.14,83.9,23.44,10
"95",94,948.02,32.64,11.66,7.68,51.98,8.85649823742,110.6,36.5,2.91490945074,10.37542039238,9.47894157856,8.22853982334,470.7,18.78,7.66,5.38,31.82,477.32,13.86,4,2.3,20.16,502.52,497.48,26.18,12.98,84.42,23.52,10
"96",95,947.86,32.9,11.6,7.64,52.14,8.8745041246,109.56,38.5,2.91887879812,10.39534381548,9.51111714138,8.23196902372,470.46,19,7.68,5.38,32.06,477.4,13.9,3.92,2.26,20.08,502.52,497.48,24.06,13.56,85.5,24.94,10
"97",96,947.5,33.06,11.78,7.66,52.5,8.8879464474,108.88,38.94,2.92490483728,10.4196324171,9.53590029334,8.23397725236,470.16,19.2,7.74,5.42,32.36,477.34,13.86,4.04,2.24,20.14,502.52,497.48,25.16,14.22,83.72,24.72,10
"98",97,947.1,33.18,12.06,7.66,52.9,8.90621284076,109.62,39.18,2.93182226824,10.44319944574,9.568861135,8.2375288227,469.82,19.24,8,5.46,32.7,477.28,13.94,4.06,2.2,20.2,502.52,497.48,24.22,13.92,85.4,25.26,10
"99",98,946.72,33.44,12.12,7.72,53.28,8.9221327613,111.22,38.34,2.93757285142,10.46747056644,9.59970696474,8.23819384796,469.38,19.58,8.12,5.44,33.14,477.34,13.86,4,2.28,20.14,502.52,497.48,24.58,13.18,86.64,25.16,10
"100",99,946.38,33.66,12.2,7.76,53.62,8.94033883448,114.2,37.22,2.94435613348,10.49180715924,9.63885055584,8.2350074539,469.02,19.88,8.14,5.48,33.5,477.36,13.78,4.06,2.28,20.12,502.52,497.48,26.38,13.08,87.82,24.14,10
"101",100,945.74,34.04,12.28,7.94,54.26,8.96228856288,111.96,37.58,2.9507627906,10.51206445758,9.68039121478,8.2371350482,468.5,20.16,8.24,5.62,34.02,477.24,13.88,4.04,2.32,20.24,502.52,497.48,25.24,12.68,86.72,24.9,10
"102",101,945.48,34.06,12.42,8.04,54.52,8.9805393704,111.86,36.4,2.95748567324,10.53802565612,9.70803345668,8.24572897286,468.28,20.26,8.32,5.66,34.24,477.2,13.8,4.1,2.38,20.28,502.52,497.48,25.2,12.64,86.66,23.76,10
"103",102,945.1,34.28,12.54,8.08,54.9,8.99999820662,111.3,37.34,2.96614698322,10.5621070068,9.74248182854,8.25005181754,467.88,20.56,8.42,5.66,34.64,477.22,13.72,4.12,2.42,20.26,502.52,497.48,24.92,13.36,86.38,23.98,10
