[run number],initial-people,environment,healthy-treatment-chance-men,healthy-treatment-chance-women,dep-treatment-chance-men,dep-treatment-chance-women,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""male"" ]","count turtles with [ treatment? = TRUE and gender? = ""female"" ]","count turtles with [ treatment? = TRUE and gender? = ""male"" ]"
6,1000,10,5.13,10.3,18,37,0,934,35,14,17,66,7.317,96,25,2.592644056,9.397598044,6.317813765,8.292490119,476,13,1,4,18,458,22,13,13,48,494,506,15,10,62,34
5,1000,10,5.13,10.3,18,37,0,945,37,7,11,55,6.878,98,34,2.521583135,8.835169743,6.174757282,7.624742268,501,8,2,4,14,444,29,5,7,41,515,485,23,11,65,33
8,1000,10,5.13,10.3,18,37,0,937,38,14,11,63,7.419,102,20,2.480734322,9.098685096,6.690335306,8.168356998,487,15,1,4,20,450,23,13,7,43,507,493,14,6,66,36
3,1000,10,5.13,10.3,18,37,0,935,27,13,25,65,7.565,81,30,2.560897701,9.164715256,7.020576132,8.079766537,462,10,6,8,24,473,17,7,17,41,486,514,16,14,61,20
2,1000,10,5.13,10.3,18,37,0,932,39,15,14,68,7.522,82,23,2.556398786,9.052586286,6.883858268,8.180894309,477,23,4,4,31,455,16,11,10,37,508,492,6,17,53,29
4,1000,10,5.13,10.3,18,37,0,940,31,18,11,60,7.154,98,35,2.467317424,9.056113162,6.378,7.93,481,10,6,3,19,459,21,12,8,41,500,500,24,11,73,25
7,1000,10,5.13,10.3,18,37,0,945,28,21,6,55,6.948,92,40,2.490110747,8.775950008,6.553398058,7.367010309,488,13,11,3,27,457,15,10,3,28,515,485,18,22,53,39
1,1000,10,5.13,10.3,18,37,0,935,35,13,17,65,7.224,98,35,2.514757079,9.130927149,6.31610338,8.142857143,481,15,3,4,22,454,20,10,13,43,503,497,18,17,75,23
6,1000,10,5.13,10.3,18,37,1,937,33,14,16,63,7.30484657,99,46,2.607588352,9.418212369,6.377336203,8.210360644,475,14,1,4,19,462,19,13,12,44,494,506,23,23,67,32
2,1000,10,5.13,10.3,18,37,1,933,38,15,14,67,7.554164301,73,28,2.565848024,9.056475865,6.916782291,8.212274182,477,22,5,4,31,456,16,10,10,36,508,492,16,12,52,21
