[run number],initial-people,environment,healthy-treatment-chance-men,healthy-treatment-chance-women,dep-treatment-chance-men,dep-treatment-chance-women,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""male"" ]","count turtles with [ treatment? = TRUE and gender? = ""female"" ]","count turtles with [ treatment? = TRUE and gender? = ""male"" ]"
4,1000,20,5.13,10.3,18,37,0,939,34,15,12,61,7.18,95,56,4.997809192,8.942980413,6.35049505,8.026262626,481,16,6,2,24,458,18,9,10,37,505,495,32,24,61,34
5,1000,20,5.13,10.3,18,37,0,950,27,13,10,50,6.723,99,55,5.082478566,8.897872956,5.991769547,7.414396887,472,7,6,1,14,478,20,7,9,36,486,514,30,25,66,33
6,1000,20,5.13,10.3,18,37,0,944,29,10,17,56,6.891,83,52,5.010349919,9.060567092,6.122661123,7.603082852,465,9,2,5,16,479,20,8,12,40,481,519,32,20,62,21
3,1000,20,5.13,10.3,18,37,0,929,32,22,17,71,7.664,94,53,4.963692914,9.144014586,6.822857143,8.593684211,500,9,8,8,25,429,23,14,9,46,525,475,26,27,56,38
8,1000,20,5.13,10.3,18,37,0,939,36,12,13,61,7.592,97,62,4.986423997,9.149067129,6.351190476,8.852822581,488,9,5,2,16,451,27,7,11,45,504,496,38,24,67,30
2,1000,20,5.13,10.3,18,37,0,937,30,15,18,63,7.601,106,48,5.028398551,9.108637067,6.274747475,8.900990099,480,10,2,3,15,457,20,13,15,48,495,505,27,21,73,33
7,1000,20,5.13,10.3,18,37,0,944,22,15,19,56,6.978,81,58,5.039811808,9.088534405,6.025369979,7.833017078,455,8,5,5,18,489,14,10,14,38,473,527,35,23,55,26
1,1000,20,5.13,10.3,18,37,0,944,30,12,14,56,7.333,84,65,5.014298542,9.13773761,6.341614907,8.259187621,468,10,2,3,15,476,20,10,11,41,483,517,41,24,56,28
3,1000,20,5.13,10.3,18,37,1,929,32,23,16,71,7.663609255,88,70,4.967085618,9.155834172,6.807279181,8.610079337,500,9,9,7,25,429,23,14,9,46,525,475,41,29,56,32
5,1000,20,5.13,10.3,18,37,1,952,26,11,11,48,6.736802128,109,62,5.090908645,8.941279869,5.983330762,7.449228362,472,7,6,1,14,480,19,5,10,34,486,514,41,21,75,34
