[run number],initial-people,environment,healthy-treatment-chance-men,healthy-treatment-chance-women,dep-treatment-chance-men,dep-treatment-chance-women,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Mild Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Moderate Depression"" and gender? = ""female"" ]","count turtles with [ severity = ""Severe Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""female"" ]","count turtles with [ talks? = TRUE and gender? = ""male"" ]","count turtles with [ treatment? = TRUE and gender? = ""female"" ]","count turtles with [ treatment? = TRUE and gender? = ""male"" ]"
4,1000,20,5.13,10.3,18,37,1,939,34,15,12,61,7.214561882,85,42,5.009554786,8.969795277,6.364884094,8.081404877,481,16,6,2,24,458,18,9,10,37,505,495,24,18,54,31
7,1000,20,5.13,10.3,18,37,1,945,22,14,19,55,6.999464803,86,50,5.042121089,9.104257553,6.035973126,7.864230577,455,8,5,5,18,490,14,9,14,37,473,527,28,22,61,25
8,1000,20,5.13,10.3,18,37,1,941,34,12,13,59,7.608712229,94,46,4.999481679,9.174526019,6.399160756,8.837772595,488,9,5,2,16,453,25,7,11,43,504,496,27,19,60,34
6,1000,20,5.13,10.3,18,37,1,946,28,10,16,54,6.886715995,93,57,5.036633221,9.093049652,6.186017367,7.536111063,465,9,2,5,16,481,19,8,11,38,481,519,30,27,67,26
2,1000,20,5.13,10.3,18,37,1,939,28,15,18,61,7.594233477,98,54,5.021885165,9.135939833,6.300822613,8.862032245,480,10,2,3,15,459,18,13,15,46,495,505,36,18,65,33
1,1000,20,5.13,10.3,18,37,1,944,29,13,14,56,7.36251537,96,52,5.014690567,9.148687222,6.364627362,8.294778247,468,10,2,3,15,476,19,11,11,41,483,517,27,25,62,34
5,1000,20,5.13,10.3,18,37,2,954,24,11,11,46,6.768861092,103,65,5.113212419,8.983562883,6.024526675,7.472648109,473,6,6,1,13,481,18,5,10,33,486,514,39,26,65,38
3,1000,20,5.13,10.3,18,37,2,930,32,22,16,70,7.66011417,108,61,4.966564746,9.207427057,6.826157674,8.58185556,500,9,9,7,25,430,23,13,9,45,525,475,32,29,73,35
4,1000,20,5.13,10.3,18,37,2,940,33,15,12,60,7.242966256,83,58,5.022034253,8.98716945,6.428069071,8.07432601,481,16,6,2,24,459,17,9,10,36,505,495,28,30,58,25
7,1000,20,5.13,10.3,18,37,2,947,20,14,19,53,6.992005291,99,65,5.047065945,9.133104772,6.100871352,7.791827593,455,8,5,5,18,492,12,9,14,35,473,527,43,22,63,36
6,1000,20,5.13,10.3,18,37,2,948,27,10,15,52,6.885447196,95,61,5.044363684,9.114232946,6.19993229,7.520770259,465,9,2,5,16,483,18,8,10,36,481,519,37,24,61,34
8,1000,20,5.13,10.3,18,37,2,940,35,12,13,60,7.641892173,95,53,5.026395869,9.185370589,6.401834371,8.901950907,488,9,5,2,16,452,26,7,11,44,504,496,29,24,65,30
2,1000,20,5.13,10.3,18,37,2,942,26,14,18,58,7.584997031,95,53,5.033802122,9.144426683,6.342455896,8.802933392,480,10,2,3,15,462,16,12,15,43,495,505,38,15,67,28
1,1000,20,5.13,10.3,18,37,2,944,29,14,13,56,7.437132913,102,52,5.027402727,9.180938026,6.443774622,8.365163965,467,10,3,3,16,477,19,11,10,40,483,517,29,23,72,30
5,1000,20,5.13,10.3,18,37,3,954,24,11,11,46,6.817590886,95,53,5.095409088,9.002417981,6.076455537,7.518353104,473,6,6,1,13,481,18,5,10,33,486,514,33,20,60,35
4,1000,20,5.13,10.3,18,37,3,940,33,16,11,60,7.255875427,90,43,5.037524206,9.012585057,6.439878948,8.088356683,481,15,7,2,24,459,18,9,9,36,505,495,24,19,62,28
3,1000,20,5.13,10.3,18,37,3,933,30,21,16,67,7.649203113,99,62,4.970046244,9.225233632,6.854617146,8.527429708,500,9,9,7,25,433,21,12,9,42,525,475,29,33,68,31
7,1000,20,5.13,10.3,18,37,3,950,18,13,19,50,7.012344575,101,55,5.052333065,9.141924948,6.118044314,7.815008756,456,7,5,5,17,494,11,8,14,33,473,527,34,21,70,31
6,1000,20,5.13,10.3,18,37,3,949,27,9,15,51,6.898798635,81,70,5.045012368,9.137273391,6.223924304,7.524260202,465,9,2,5,16,484,18,7,10,35,481,519,42,28,63,18
8,1000,20,5.13,10.3,18,37,3,939,37,11,13,61,7.662016257,99,49,5.026786558,9.190226115,6.424320078,8.919675278,489,9,4,2,15,450,28,7,11,46,504,496,28,21,70,29
2,1000,20,5.13,10.3,18,37,3,944,24,15,17,56,7.600721974,98,67,5.034504335,9.164234905,6.357051962,8.819764858,481,9,2,3,14,463,15,13,14,42,495,505,33,34,69,29
1,1000,20,5.13,10.3,18,37,3,944,29,14,13,56,7.504914914,104,49,5.041368359,9.222409437,6.518161669,8.426775296,467,10,3,3,16,477,19,11,10,40,483,517,27,22,66,38
5,1000,20,5.13,10.3,18,37,4,954,24,11,11,46,6.892333316,85,49,5.098463695,9.016717398,6.163781054,7.581197905,473,6,6,1,13,481,18,5,10,33,486,514,29,20,55,30
7,1000,20,5.13,10.3,18,37,4,952,17,12,19,48,7.022433027,102,51,5.069847847,9.149756191,6.133354222,7.820410777,457,7,4,5,16,495,10,8,14,32,473,527,35,16,73,29
4,1000,20,5.13,10.3,18,37,4,942,31,16,11,58,7.26759307,105,60,5.046183502,9.024962878,6.484423856,8.066583885,481,15,7,2,24,461,16,9,9,34,505,495,35,25,68,37
3,1000,20,5.13,10.3,18,37,4,932,29,23,16,68,7.671586466,101,62,4.974820547,9.237407379,6.875658159,8.5512967,499,10,9,7,26,433,19,14,9,42,525,475,30,32,67,34
8,1000,20,5.13,10.3,18,37,4,939,37,11,13,61,7.68437328,97,59,5.034424702,9.194790915,6.458163438,8.9303607,489,9,4,2,15,450,28,7,11,46,504,496,32,27,61,36
6,1000,20,5.13,10.3,18,37,4,949,27,9,15,51,6.947647054,96,52,5.046605511,9.193233207,6.276882517,7.569299737,465,9,2,5,16,484,18,7,10,35,481,519,28,24,64,32
2,1000,20,5.13,10.3,18,37,4,944,24,15,17,56,7.617249374,89,52,5.053438404,9.210695438,6.409901344,8.800689522,481,9,2,3,14,463,15,13,14,42,495,505,37,15,57,32
5,1000,20,5.13,10.3,18,37,5,953,25,11,11,47,6.925125597,99,52,5.103574813,9.018673478,6.228148253,7.584135302,472,7,6,1,14,481,18,5,10,33,486,514,32,20,65,34
1,1000,20,5.13,10.3,18,37,4,944,30,14,12,56,7.519219701,95,58,5.042584244,9.235246404,6.531900829,8.441608512,467,10,3,3,16,477,20,11,9,40,483,517,37,21,61,34
4,1000,20,5.13,10.3,18,37,5,943,31,14,12,57,7.276352844,93,53,5.045999111,9.030894735,6.472897686,8.09603942,482,15,5,3,23,461,16,9,9,34,505,495,28,25,62,31
7,1000,20,5.13,10.3,18,37,5,952,17,12,19,48,7.044795828,100,49,5.085263925,9.187310564,6.140140217,7.856754279,457,7,4,5,16,495,10,8,14,32,473,527,31,18,73,27
3,1000,20,5.13,10.3,18,37,5,932,28,24,16,68,7.705245755,111,54,4.977704059,9.252807984,6.951327444,8.538523887,498,10,10,7,27,434,18,14,9,41,525,475,26,28,73,38
8,1000,20,5.13,10.3,18,37,5,939,37,11,13,61,7.708515353,104,67,5.046688253,9.206908395,6.491005801,8.945662156,489,9,4,2,15,450,28,7,11,46,504,496,40,27,69,35
6,1000,20,5.13,10.3,18,37,5,950,27,8,15,50,6.97731444,110,54,5.049448583,9.199844148,6.336175816,7.571510352,466,9,1,5,15,484,18,7,10,35,481,519,32,22,71,39
2,1000,20,5.13,10.3,18,37,5,946,23,14,17,54,7.609450047,112,56,5.069886965,9.249821649,6.475070369,8.721366761,481,9,2,3,14,465,14,12,14,40,495,505,31,25,87,25
5,1000,20,5.13,10.3,18,37,6,952,26,10,12,48,6.970753203,96,70,5.097532154,9.020901728,6.261968199,7.640927351,471,8,6,1,15,481,18,4,11,33,486,514,35,35,69,27
7,1000,20,5.13,10.3,18,37,6,952,18,11,19,48,7.074216165,86,45,5.100957575,9.202842994,6.143924856,7.909183508,457,7,4,5,16,495,11,7,14,32,473,527,27,18,60,26
1,1000,20,5.13,10.3,18,37,5,946,28,14,12,54,7.579494436,95,56,5.054971306,9.258737957,6.634608233,8.46224112,467,10,3,3,16,479,18,11,9,38,483,517,39,17,69,26
4,1000,20,5.13,10.3,18,37,6,943,31,15,11,57,7.249936758,96,42,5.08371055,9.047447277,6.482987972,8.032379458,482,15,5,3,23,461,16,10,8,34,505,495,21,21,66,30
3,1000,20,5.13,10.3,18,37,6,932,28,24,16,68,7.750567656,101,61,4.966569821,9.281994422,7.001459454,8.578529352,498,10,10,7,27,434,18,14,9,41,525,475,35,26,72,29
8,1000,20,5.13,10.3,18,37,6,937,39,11,13,63,7.759636165,98,50,5.06645237,9.214474341,6.489378194,9.050382168,489,9,4,2,15,448,30,7,11,48,504,496,25,25,62,36
6,1000,20,5.13,10.3,18,37,6,951,26,7,16,49,7.016409329,104,55,5.043070876,9.218245979,6.395426672,7.591925048,467,8,1,5,14,484,18,6,11,35,481,519,22,33,67,37
2,1000,20,5.13,10.3,18,37,6,947,22,14,17,53,7.581400748,92,57,5.083199705,9.255511787,6.491642853,8.649579279,480,10,2,3,15,467,12,12,14,38,495,505,32,25,67,25
5,1000,20,5.13,10.3,18,37,7,952,25,11,12,48,7.018691597,86,59,5.104480853,9.078844397,6.330966879,7.668952712,471,8,6,1,15,481,17,5,11,33,486,514,33,26,52,34
7,1000,20,5.13,10.3,18,37,7,955,18,9,18,45,7.042170803,97,41,5.12257027,9.247870289,6.130076627,7.860805614,458,6,4,5,15,497,12,5,13,30,473,527,25,16,65,32
4,1000,20,5.13,10.3,18,37,7,944,32,14,10,56,7.253265764,82,53,5.090010354,9.055019307,6.479811358,8.042345512,482,16,4,3,23,462,16,10,7,33,505,495,24,29,54,28
1,1000,20,5.13,10.3,18,37,6,946,29,14,11,54,7.574003415,103,61,5.063669261,9.265685607,6.628913418,8.456940491,467,11,3,2,16,479,18,11,9,38,483,517,43,18,76,27
3,1000,20,5.13,10.3,18,37,7,931,30,21,18,69,7.793659287,90,53,4.987836495,9.32903673,7.046065061,8.619947642,498,11,8,8,27,433,19,13,10,42,525,475,31,22,59,31
8,1000,20,5.13,10.3,18,37,7,938,38,11,13,62,7.757271792,99,57,5.069416491,9.209588372,6.487853187,9.04716489,489,9,4,2,15,449,29,7,11,47,504,496,29,28,67,32
6,1000,20,5.13,10.3,18,37,7,953,24,7,16,47,7.03471422,102,53,5.04741352,9.225826405,6.415048226,7.609009678,467,8,1,5,14,486,16,6,11,33,481,519,31,22,63,39
5,1000,20,5.13,10.3,18,37,8,955,24,9,12,45,7.021701187,79,63,5.118400422,9.099752384,6.315665102,7.689276162,472,8,5,1,14,483,16,4,11,31,486,514,39,24,56,23
2,1000,20,5.13,10.3,18,37,7,947,21,15,17,53,7.6261668,100,54,5.081671692,9.267362435,6.551678812,8.679377799,480,9,3,3,15,467,12,12,14,38,495,505,32,22,70,30
7,1000,20,5.13,10.3,18,37,8,955,18,9,18,45,7.092985685,92,63,5.147256468,9.274137483,6.194944695,7.899007294,458,6,4,5,15,497,12,5,13,30,473,527,34,29,65,27
4,1000,20,5.13,10.3,18,37,8,944,33,14,9,56,7.26625471,95,53,5.104398155,9.093056726,6.521867399,8.025680148,482,16,4,3,23,462,17,10,6,33,505,495,27,26,61,34
3,1000,20,5.13,10.3,18,37,8,932,31,19,18,68,7.786002087,93,68,4.988379054,9.345796593,7.04228103,8.608009572,498,11,8,8,27,434,20,11,10,41,525,475,44,24,62,31
1,1000,20,5.13,10.3,18,37,7,946,29,14,11,54,7.62078981,109,68,5.069002445,9.301828952,6.694769217,8.485911563,467,11,3,2,16,479,18,11,9,38,483,517,39,29,82,27
8,1000,20,5.13,10.3,18,37,8,939,38,10,13,61,7.757483284,93,59,5.06638312,9.220944493,6.511375696,9.023689382,489,9,4,2,15,450,29,6,11,46,504,496,37,22,65,28
6,1000,20,5.13,10.3,18,37,8,952,25,7,16,48,7.051709451,98,53,5.064104659,9.238650372,6.423739939,7.633700464,467,8,1,5,14,485,17,6,11,34,481,519,37,16,64,34
5,1000,20,5.13,10.3,18,37,9,955,24,9,12,45,7.057421634,82,51,5.153162186,9.129790289,6.34102382,7.734793886,472,8,5,1,14,483,16,4,11,31,486,514,30,21,60,22
2,1000,20,5.13,10.3,18,37,8,948,19,16,17,52,7.634479206,109,66,5.077579024,9.301460192,6.557453405,8.690177762,481,8,3,3,14,467,11,13,14,38,495,505,34,32,80,29
4,1000,20,5.13,10.3,18,37,9,943,34,14,9,57,7.319184682,108,57,5.113613428,9.105350867,6.583296722,8.069939064,482,16,4,3,23,461,18,10,6,34,505,495,25,32,76,32
7,1000,20,5.13,10.3,18,37,9,956,17,9,18,44,7.140305918,87,60,5.146462724,9.293156091,6.260809399,7.92968325,457,7,4,5,16,499,10,5,13,28,473,527,40,20,60,27
3,1000,20,5.13,10.3,18,37,9,933,31,18,18,67,7.769356844,103,54,4.995764825,9.370377599,7.033999257,8.582120493,499,11,7,8,26,434,20,11,10,41,525,475,29,25,63,40
1,1000,20,5.13,10.3,18,37,8,947,29,12,12,53,7.640877367,105,52,5.082805839,9.320482272,6.777291989,8.447669897,467,11,3,2,16,480,18,9,10,37,483,517,30,22,77,28
8,1000,20,5.13,10.3,18,37,9,940,36,11,13,60,7.756330331,84,43,5.075830674,9.268519922,6.559509786,8.972454433,489,9,4,2,15,451,27,7,11,45,504,496,25,18,62,22
6,1000,20,5.13,10.3,18,37,9,953,24,7,16,47,7.071664975,106,64,5.070478447,9.275210959,6.479323895,7.620636189,467,8,1,5,14,486,16,6,11,33,481,519,36,28,73,33
5,1000,20,5.13,10.3,18,37,10,957,23,8,12,43,7.070707604,110,58,5.160455994,9.155146494,6.403371915,7.701690376,472,8,5,1,14,485,15,3,11,29,486,514,41,17,82,28
2,1000,20,5.13,10.3,18,37,9,949,19,15,17,51,7.630875222,89,44,5.117762798,9.32981216,6.5737806,8.667037277,482,8,2,3,13,467,11,13,14,38,495,505,25,19,58,31
7,1000,20,5.13,10.3,18,37,10,957,16,9,18,43,7.175966028,104,55,5.16660667,9.320305613,6.324998646,7.939737512,457,7,4,5,16,500,9,5,13,27,473,527,41,14,71,33
4,1000,20,5.13,10.3,18,37,10,943,34,14,9,57,7.348910096,97,49,5.16521783,9.138129814,6.633322479,8.078954028,482,16,4,3,23,461,18,10,6,34,505,495,28,21,67,30
3,1000,20,5.13,10.3,18,37,10,932,32,18,18,68,7.813691411,106,48,4.997188133,9.408855408,7.04753356,8.660497456,499,11,7,8,26,433,21,11,10,42,525,475,28,20,74,32
8,1000,20,5.13,10.3,18,37,10,940,37,10,13,60,7.774554627,97,59,5.06805027,9.290931327,6.590999736,8.977199113,489,9,4,2,15,451,28,6,11,45,504,496,35,24,64,33
1,1000,20,5.13,10.3,18,37,9,944,33,11,12,56,7.697270314,95,61,5.096457062,9.372056111,6.825326117,8.511871952,467,11,3,2,16,477,22,8,10,40,483,517,40,21,72,23
6,1000,20,5.13,10.3,18,37,10,953,24,7,16,47,7.111424112,96,67,5.100074741,9.277051256,6.520700983,7.658895837,467,8,1,5,14,486,16,6,11,33,481,519,41,26,61,35
5,1000,20,5.13,10.3,18,37,11,956,24,8,12,44,7.138709482,106,46,5.180295686,9.175079914,6.477263121,7.764123746,472,8,5,1,14,484,16,3,11,30,486,514,24,22,78,28
7,1000,20,5.13,10.3,18,37,11,958,16,8,18,42,7.220158278,99,64,5.176263597,9.332493947,6.396634323,7.959298374,458,7,3,5,15,500,9,5,13,27,473,527,42,22,72,27
2,1000,20,5.13,10.3,18,37,10,949,18,14,19,51,7.63969369,104,60,5.130577935,9.360045196,6.613629163,8.645440108,482,8,2,3,13,467,10,12,16,38,495,505,31,29,77,27
4,1000,20,5.13,10.3,18,37,11,947,31,13,9,53,7.345980629,99,62,5.178198714,9.148757275,6.63474259,8.071587112,484,14,4,3,21,463,17,9,6,32,505,495,34,28,60,39
3,1000,20,5.13,10.3,18,37,11,933,32,18,17,67,7.823360286,101,53,5.017756096,9.422855181,7.077073916,8.648203116,498,13,7,7,27,435,19,11,10,40,525,475,33,20,66,35
8,1000,20,5.13,10.3,18,37,11,941,35,11,13,59,7.815711735,91,53,5.094826933,9.307799271,6.629632303,9.020921481,489,9,4,2,15,452,26,7,11,44,504,496,27,26,62,29
1,1000,20,5.13,10.3,18,37,10,943,33,12,12,57,7.780441256,99,48,5.114279169,9.396467278,6.963758216,8.543415933,466,12,3,2,17,477,21,9,10,40,483,517,33,15,74,25
6,1000,20,5.13,10.3,18,37,11,956,21,7,16,44,7.107354614,101,58,5.123505312,9.311559634,6.554712061,7.619533936,468,7,1,5,13,488,14,6,11,31,481,519,25,33,74,27
5,1000,20,5.13,10.3,18,37,12,953,27,8,12,47,7.188739777,85,42,5.196122877,9.184305452,6.530055218,7.811542688,471,9,5,1,15,482,18,3,11,32,486,514,23,19,65,20
7,1000,20,5.13,10.3,18,37,12,958,16,8,18,42,7.177178934,109,66,5.182543912,9.344126142,6.403129753,7.871913778,458,7,3,5,15,500,9,5,13,27,473,527,42,24,67,42
4,1000,20,5.13,10.3,18,37,12,946,32,13,9,54,7.37644686,86,57,5.188727518,9.179993994,6.666987848,8.100238378,484,14,4,3,21,462,18,9,6,33,505,495,32,25,57,29
2,1000,20,5.13,10.3,18,37,11,950,17,15,18,50,7.652456064,88,60,5.138349889,9.390722647,6.66020693,8.625056701,482,8,2,3,13,468,9,13,15,37,495,505,35,25,59,29
3,1000,20,5.13,10.3,18,37,12,934,31,18,17,66,7.849958017,90,54,5.036940297,9.464385862,7.14103036,8.633509637,498,13,7,7,27,436,18,11,10,39,525,475,26,28,62,28
8,1000,20,5.13,10.3,18,37,12,942,34,11,13,58,7.844279338,114,54,5.094949722,9.298026168,6.713286189,8.993514313,488,10,4,2,16,454,24,7,11,42,504,496,31,23,79,35
6,1000,20,5.13,10.3,18,37,12,957,20,7,16,43,7.142925563,102,58,5.134408129,9.324792026,6.608888348,7.637861787,468,7,1,5,13,489,13,6,11,30,481,519,40,18,75,27
1,1000,20,5.13,10.3,18,37,11,942,35,12,11,58,7.812591235,114,66,5.101646194,9.416015721,7.049759911,8.525255701,465,13,3,2,18,477,22,9,9,40,483,517,44,22,81,33
5,1000,20,5.13,10.3,18,37,13,953,27,8,12,47,7.169345166,113,42,5.234129893,9.213949864,6.522549875,7.780906473,471,9,5,1,15,482,18,3,11,32,486,514,28,14,74,39
7,1000,20,5.13,10.3,18,37,13,955,19,8,18,45,7.199870277,113,54,5.187057452,9.352379557,6.436872758,7.884685888,456,9,3,5,17,499,10,5,13,28,473,527,32,22,93,20
4,1000,20,5.13,10.3,18,37,13,945,31,15,9,55,7.403551604,99,45,5.198449712,9.196649649,6.678832713,8.14291128,484,13,5,3,21,461,18,10,6,34,505,495,23,22,72,27
2,1000,20,5.13,10.3,18,37,12,951,17,14,18,49,7.668663869,98,63,5.140208649,9.424731924,6.684140298,8.633691924,482,8,2,3,13,469,9,12,15,36,495,505,34,29,65,33
3,1000,20,5.13,10.3,18,37,13,935,31,17,17,65,7.844685795,110,46,5.051728657,9.520178728,7.167148396,8.59354292,498,13,7,7,27,437,18,10,10,38,525,475,23,23,74,36
8,1000,20,5.13,10.3,18,37,13,941,35,11,13,59,7.861258573,104,51,5.103807611,9.313952877,6.740532516,9.000060857,488,10,4,2,16,453,25,7,11,43,504,496,34,17,75,29
5,1000,20,5.13,10.3,18,37,14,952,28,8,12,48,7.188188717,107,52,5.223762098,9.234098695,6.56862863,7.773998449,469,11,5,1,17,483,17,3,11,31,486,514,31,21,75,32
6,1000,20,5.13,10.3,18,37,13,959,20,7,14,41,7.138115102,104,61,5.144933996,9.343010302,6.611766765,7.62592541,468,8,1,4,13,491,12,6,10,28,481,519,44,17,70,34
7,1000,20,5.13,10.3,18,37,14,956,18,8,18,44,7.236191002,86,44,5.208342366,9.390978245,6.475077896,7.919315288,456,9,3,5,17,500,9,5,13,27,473,527,30,14,57,29
1,1000,20,5.13,10.3,18,37,12,942,35,13,10,58,7.804695095,106,61,5.091511055,9.430722745,7.04308681,8.516216955,465,13,3,2,18,477,22,10,8,40,483,517,40,21,69,37
4,1000,20,5.13,10.3,18,37,14,946,30,15,9,54,7.433478369,72,55,5.187796358,9.20891026,6.695762589,8.186097498,485,12,5,3,20,461,18,10,6,34,505,495,34,21,46,26
3,1000,20,5.13,10.3,18,37,14,935,32,17,16,65,7.865117037,106,47,5.058407243,9.526614752,7.217008999,8.581446974,498,13,7,7,27,437,19,10,9,38,525,475,23,24,78,28
2,1000,20,5.13,10.3,18,37,13,954,17,14,15,46,7.644536902,102,59,5.161751314,9.459508123,6.753673551,8.517759394,482,8,2,3,13,472,9,12,12,33,495,505,35,24,73,29
8,1000,20,5.13,10.3,18,37,14,942,34,12,12,58,7.869874453,93,52,5.120742896,9.341284498,6.794144935,8.962954446,488,10,4,2,16,454,24,8,10,42,504,496,28,24,72,21
5,1000,20,5.13,10.3,18,37,15,953,27,8,12,47,7.217661977,80,77,5.225763777,9.246940818,6.593936392,7.807410292,469,11,5,1,17,484,16,3,11,30,486,514,44,33,62,18
6,1000,20,5.13,10.3,18,37,14,962,20,7,11,38,7.10708405,93,63,5.148836396,9.357202471,6.658839152,7.522509476,468,8,1,4,13,494,12,6,7,25,481,519,39,24,73,20
7,1000,20,5.13,10.3,18,37,15,958,18,6,18,42,7.255605434,104,57,5.2186147,9.424737938,6.516651557,7.918841077,457,9,3,4,16,501,9,3,14,26,473,527,37,20,77,27
4,1000,20,5.13,10.3,18,37,15,947,30,14,9,53,7.437363123,87,56,5.198068519,9.217786069,6.72099131,8.168207094,485,12,5,3,20,462,18,9,6,33,505,495,34,22,60,27
1,1000,20,5.13,10.3,18,37,13,942,35,13,10,58,7.853110933,103,57,5.090974458,9.461789642,7.09230672,8.5638816,465,13,3,2,18,477,22,10,8,40,483,517,29,28,77,26
3,1000,20,5.13,10.3,18,37,15,939,29,14,18,61,7.859949003,102,47,5.04337996,9.535183193,7.250183851,8.533899961,498,13,7,7,27,441,16,7,11,34,525,475,25,22,65,37
2,1000,20,5.13,10.3,18,37,14,955,17,13,15,45,7.644493824,81,57,5.215916468,9.487007974,6.752802793,8.518527606,482,8,2,3,13,473,9,11,12,32,495,505,31,26,58,23
8,1000,20,5.13,10.3,18,37,15,944,33,11,12,56,7.858589563,88,59,5.133842974,9.374052521,6.780191313,8.954381334,489,9,4,2,15,455,24,7,10,41,504,496,35,24,57,31
5,1000,20,5.13,10.3,18,37,16,954,26,8,12,46,7.215223768,93,61,5.225902002,9.262019101,6.62647164,7.771903797,469,11,5,1,17,485,15,3,11,29,486,514,36,25,61,32
7,1000,20,5.13,10.3,18,37,16,959,18,5,18,41,7.287263503,104,65,5.213543793,9.419574117,6.522476404,7.973685319,458,9,2,4,15,501,9,3,14,26,473,527,38,27,70,34
6,1000,20,5.13,10.3,18,37,15,962,20,8,10,38,7.120897609,105,57,5.145049463,9.366186811,6.671036305,7.537821091,468,8,2,3,13,494,12,6,7,25,481,519,29,28,72,33
4,1000,20,5.13,10.3,18,37,16,947,31,12,10,53,7.453619611,104,53,5.223758949,9.271050184,6.77477851,8.146174674,485,12,5,3,20,462,19,7,7,33,505,495,32,21,72,32
